b,31.33,19.5,u,g,c,v,7.0,t,t,16,f,g,0.0,5000,+
b,26.67,14.585,u,g,i,bb,0.0,f,f,0,t,g,178.0,0,-
b,52.42,1.5,u,g,d,v,3.75,f,f,0,t,g,0.0,350,-
b,34.42,4.25,u,g,i,bb,3.25,t,t,2,f,g,274.0,610,+
a,22.42,11.25,y,p,x,h,0.75,t,t,4,f,g,0.0,321,+
b,32.25,0.165,y,p,c,h,3.25,t,t,1,t,g,432.0,8000,+
b,26.92,2.25,u,g,i,bb,0.5,f,f,0,t,g,640.0,4000,-
a,19.5,0.165,u,g,q,v,0.04,f,f,0,t,g,380.0,0,-
b,23.08,11.5,u,g,w,h,2.125,t,t,11,t,g,290.0,284,+
b,36.75,0.125,y,p,c,v,1.5,f,f,0,t,g,232.0,113,+
b,47.67,0.29,u,g,c,bb,15.0,t,t,20,f,g,0.0,15000,+
b,19.67,10.0,y,p,k,h,0.835,t,f,0,t,g,140.0,0,-
b,23.58,0.835,u,g,i,h,0.085,f,f,0,t,g,220.0,5,-
a,46.67,0.46,u,g,cc,h,0.415,t,t,11,t,g,440.0,6,+
a,41.0,2.04,y,p,q,h,0.125,t,t,23,t,g,455.0,1236,+
a,27.58,3.0,u,g,m,v,2.79,f,t,1,t,g,280.0,10,-
a,60.58,16.5,u,g,q,v,11.0,t,f,0,t,g,21.0,10561,+
a,25.0,11.0,y,p,aa,v,4.5,t,f,0,f,g,120.0,0,-
a,56.83,4.25,y,p,ff,ff,5.0,f,f,0,t,g,0.0,4,-
a,47.42,8.0,u,g,e,bb,6.5,t,t,6,f,g,375.0,51100,+
a,45.83,10.5,u,g,q,v,5.0,t,t,7,t,g,0.0,0,+
a,21.75,11.75,u,g,c,v,0.25,f,f,0,t,g,180.0,0,-
b,23.92,1.5,u,g,d,h,1.875,t,t,6,f,g,200.0,327,+
b,23.5,2.75,u,g,ff,ff,4.5,f,f,0,f,g,160.0,25,-
b,31.67,16.165,u,g,d,v,3.0,t,t,9,f,g,250.0,730,+
b,28.17,0.125,y,p,k,v,0.085,f,f,0,f,g,216.0,2100,-
a,22.67,0.75,u,g,c,v,2.0,f,t,2,t,g,200.0,394,-
b,22.0,0.79,u,g,w,v,0.29,f,t,1,f,g,420.0,283,-
a,16.5,1.25,u,g,q,v,0.25,f,t,1,f,g,108.0,98,-
b,41.17,4.04,u,g,cc,h,7.0,t,t,8,f,g,320.0,0,+
b,76.75,22.29,u,g,e,z,12.75,t,t,1,t,g,0.0,109,+
b,44.83,7.0,y,p,c,v,1.625,f,f,0,f,g,160.0,2,-
b,21.5,11.5,u,g,i,v,0.5,t,f,0,t,g,100.0,68,-
b,39.17,2.5,y,p,i,h,10.0,f,f,0,t,s,200.0,0,-
b,27.67,0.75,u,g,q,h,0.165,f,f,0,t,g,220.0,251,-
b,25.5,0.375,u,g,m,v,0.25,t,t,3,f,g,260.0,15108,+
b,65.42,11.0,u,g,e,z,20.0,t,t,7,t,g,22.0,0,+
a,23.58,11.5,y,p,k,h,3.0,f,f,0,t,g,20.0,16,-
a,56.5,16.0,u,g,j,ff,0.0,t,t,15,f,g,0.0,247,+
b,35.17,2.5,u,g,k,v,4.5,t,t,7,f,g,150.0,1270,+
a,25.33,2.085,u,g,c,h,2.75,t,f,0,t,g,360.0,1,-
b,22.17,2.25,u,g,i,v,0.125,f,f,0,f,g,160.0,10,-
a,24.5,1.04,y,p,ff,ff,0.5,t,t,3,f,g,180.0,147,-
a,40.33,7.54,y,p,q,h,8.0,t,t,14,f,g,0.0,2300,+
a,22.83,2.29,u,g,q,h,2.29,t,t,7,t,g,140.0,2384,+
b,33.58,0.335,y,p,cc,v,0.085,f,f,0,f,g,180.0,0,-
a,30.58,10.665,u,g,q,h,0.085,f,t,12,t,g,129.0,3,-
b,33.58,0.25,u,g,i,bb,4.0,f,f,0,t,s,420.0,0,-
